,Bedrooms,Bathrooms,HouseSize_sqft,Neighborhood,Condition,Price,New column
42,3.0,3.0,1753.7406870447037,Middle Class,Poor,1042059.056747411,43.0
43,4.0,1.0,1679.5585217642845,Low-Cost,Poor,805775.3473662998,44.0
44,2.0,2.0,1208.5912038530291,Middle Class,Fair,703592.6254340458,45.0
45,3.0,2.0,1512.0623166421165,Low-Cost,Good,821794.6591514152,46.0
46,4.0,2.0,1615.744491616085,Middle Class,Poor,913695.7794898668,47.0
47,4.0,2.0,2222.848890487566,Middle Class,Good,1207853.1546068967,48.0
48,5.0,2.0,1937.4473158273845,Expensive Area,Poor,1118979.4862779167,49.0
49,1.0,1.0,1094.7839378549063,Low-Cost,Fair,547501.9849509374,50.0
50,4.0,2.0,1929.633587757918,Low-Cost,Fair,971720.7865409268,51.0
51,4.0,2.0,1645.9670878334734,Expensive Area,Poor,1034257.0893954588,52.0
52,3.0,2.0,1529.2311998776163,Expensive Area,Poor,972775.62149187,53.0
53,3.0,3.0,2044.6705155363472,Expensive Area,Poor,1268788.641251915,54.0
54,4.0,4.0,2212.39980899838,Expensive Area,Fair,1004516.6064958775,55.0
55,3.0,3.0,1814.0164028325507,Low-Cost,Good,1108404.310938381,56.0
56,4.0,2.0,1464.3129907109446,Low-Cost,Fair,773772.3748672452,57.0
57,3.0,1.0,1676.3150496595142,Middle Class,Good,900746.7835624608,58.0
58,4.0,2.0,1932.5053725614257,Middle Class,Fair,1068781.932956492,59.0
59,3.0,3.0,2190.218050848944,Expensive Area,Fair,1252736.0805778538,60.0
60,4.0,2.0,1725.7364093344731,Expensive Area,Good,1090109.3102687516,62.0
61,3.0,3.0,1357.466010397589,Middle Class,Poor,776663.4277205257,63.0
62,3.0,1.0,1321.5173503677318,Middle Class,Fair,780879.1644993506,64.0
63,5.0,4.0,2125.010328957679,Middle Class,Poor,1238768.1000511516,65.0
64,4.0,3.0,2342.496011428329,Middle Class,Poor,1256581.149333016,66.0
65,5.0,2.0,1771.1959513678664,Middle Class,Good,942382.531145282,67.0
66,6.0,2.0,2201.41315915681,Middle Class,Fair,1191401.2620077317,68.0
67,3.0,2.0,1944.6544100190536,Middle Class,Good,1093004.3209054072,69.0
68,1.0,1.0,1541.9520981579503,Expensive Area,Fair,895192.4023021113,70.0
69,4.0,3.0,1944.5582422033656,Expensive Area,Good,1141072.1420226672,71.0
70,5.0,4.0,2415.214626586388,Expensive Area,Poor,1004516.6064958775,72.0
71,3.0,2.0,1785.6695843560194,Expensive Area,Fair,1082769.9137553454,73.0
72,5.0,3.0,2425.8574623256027,Middle Class,Good,1339037.8650925625,74.0
73,1.0,1.0,752.1019583641023,Low-Cost,Poor,368277.9182887552,75.0
74,5.0,2.0,2128.7610017500897,Middle Class,Poor,1004516.6064958775,76.0
75,4.0,1.0,1834.8188272952684,Low-Cost,Good,905915.727811556,77.0
76,4.0,2.0,1680.397059813653,Expensive Area,Fair,997506.3713811887,78.0
77,4.0,3.0,1836.704310614201,Middle Class,Fair,1100978.2104604736,79.0
78,1.0,1.0,1814.0164028325507,Expensive Area,Poor,639567.9812954991,80.0
79,3.0,2.0,1712.131244864995,Middle Class,Fair,980973.8158140128,81.0
80,3.0,2.0,1942.8450286046989,Expensive Area,Fair,1173919.744429788,82.0
81,6.0,3.0,2391.1576178966066,Low-Cost,Fair,1266970.2549979116,83.0
82,3.0,2.0,1592.6919126905411,Middle Class,Poor,792762.751329202,84.0
83,4.0,1.0,1476.6025588427249,Low-Cost,Good,768583.0541893245,85.0
84,2.0,1.0,1599.2971825661853,Middle Class,Fair,855957.8639630559,86.0
85,4.0,3.0,2166.1608470808296,Low-Cost,Poor,1073661.3253644696,87.0
86,5.0,2.0,1931.500443863874,Middle Class,Poor,1077905.978190391,88.0
87,4.0,2.0,1588.0959184931844,Low-Cost,Good,793271.969587139,89.0
88,4.0,1.0,2005.3069732453423,Low-Cost,Fair,1025018.5196142512,90.0
89,4.0,3.0,1838.831019739216,Middle Class,Poor,1024535.4399636956,91.0
90,4.0,3.0,2187.457996213156,Middle Class,Good,1206390.8879721053,92.0
91,2.0,2.0,1519.178762449059,Middle Class,Good,776129.0792484608,93.0
92,3.0,2.0,1668.9351413608929,Middle Class,Poor,912253.6644012794,94.0
93,3.0,3.0,1814.0164028325507,Low-Cost,Poor,868021.3464804698,95.0
94,2.0,3.0,1214.5940207471526,Middle Class,Good,718320.199637543,96.0
95,4.0,2.0,1918.4481108258303,Expensive Area,Fair,1158440.5687953408,97.0
96,4.0,2.0,1904.422108871956,Expensive Area,Poor,1080610.5585849774,98.0
97,5.0,2.0,1802.0453826569844,Expensive Area,Poor,1093711.8095820353,99.0
98,4.0,2.0,1706.165146649941,Expensive Area,Fair,1094942.185964222,100.0
99,3.0,1.0,1233.8517031798342,Expensive Area,Poor,752223.3266927581,101.0
100,4.0,2.0,1631.7418708938565,Low-Cost,Fair,822951.4927864899,102.0
101,4.0,3.0,1662.9141933892922,Expensive Area,Fair,1054728.622514949,103.0
102,3.0,2.0,1479.0890923113525,Expensive Area,Fair,924977.5449982968,104.0
103,3.0,2.0,1735.4857153335963,Expensive Area,Good,1050487.4748783251,105.0
104,4.0,1.0,1961.620342725816,Expensive Area,Poor,1149404.7681310468,106.0
105,5.0,2.0,2554.474360484212,Middle Class,Good,1377555.1062747485,107.0
107,3.0,1.0,1903.0201562891057,Expensive Area,Fair,1100653.630037953,109.0
108,4.0,2.0,1770.221633693533,Expensive Area,Good,1063362.0055235336,110.0
109,2.0,1.0,1032.4915138803835,Expensive Area,Poor,696798.3922822545,111.0
110,4.0,2.0,1789.3944498203132,Middle Class,Fair,971223.9604659972,112.0
111,4.0,2.0,1824.0920839764103,Middle Class,Poor,1000862.4253979076,113.0
112,5.0,4.0,1814.0164028325507,Low-Cost,Poor,1387147.701107232,114.0
113,3.0,2.0,1723.055614087551,Middle Class,Fair,982587.4464180073,115.0
114,4.0,2.0,1920.618936933445,Expensive Area,Poor,1129667.086701442,116.0
115,4.0,2.0,1786.1152921179028,Middle Class,Poor,1002571.7950726352,117.0
116,2.0,2.0,1332.5287849521872,Middle Class,Poor,699060.6035429969,118.0
117,6.0,3.0,2257.129125806008,Low-Cost,Good,1165648.261034086,119.0
118,4.0,2.0,1814.0164028325507,Middle Class,Good,1004516.6064958775,120.0
119,4.0,3.0,2116.4127788172186,Middle Class,Fair,1173345.160384819,121.0
120,4.0,2.0,1436.2450180821045,Low-Cost,Good,766025.2485303191,122.0
121,5.0,3.0,2361.11772437444,Middle Class,Good,1314786.530482669,123.0
122,2.0,2.0,1239.2595748830877,Low-Cost,Good,628602.2175802941,124.0
123,3.0,2.0,2034.742837520108,Middle Class,Good,1110027.4508293313,125.0
124,5.0,3.0,2676.1822503239914,Low-Cost,Poor,1337495.6123182788,126.0
125,3.0,2.0,1403.7854699477248,Low-Cost,Fair,747867.7759031013,127.0
126,4.0,2.0,1573.4809081588912,Low-Cost,Good,840527.4331918927,128.0
127,4.0,3.0,1839.8605460350568,Middle Class,Poor,1005874.0846544376,129.0
128,4.0,2.0,1598.6097383535202,Middle Class,Poor,935953.8457443352,130.0
129,3.0,1.0,1179.734627573547,Middle Class,Poor,661801.6790546747,131.0
130,4.0,3.0,1827.425189922411,Low-Cost,Good,982583.0694135192,132.0
131,2.0,2.0,1375.078514509558,Middle Class,Poor,793803.9509313414,133.0
133,3.0,2.0,1432.2303063064787,Low-Cost,Good,736799.6583667599,135.0
134,3.0,2.0,2419.973762007016,Expensive Area,Good,1359508.689019611,136.0
135,3.0,2.0,1486.698683065505,Low-Cost,Poor,757431.8192028453,137.0
136,4.0,2.0,1671.1753935177298,Middle Class,Fair,931933.53359795,138.0
137,4.0,3.0,2125.406886947868,Low-Cost,Good,1116431.356184802,139.0
138,2.0,1.0,1307.6542734264178,Expensive Area,Poor,761955.1047887905,140.0
139,4.0,3.0,1890.983973841652,Low-Cost,Poor,945332.3156543528,141.0
140,4.0,3.0,2322.857101712971,Middle Class,Poor,1219251.608123461,142.0
141,3.0,2.0,1157.006706175509,Expensive Area,Good,786162.2455381863,143.0
142,3.0,3.0,1873.8535434129217,Middle Class,Poor,1090552.4957132724,144.0
143,6.0,2.0,1903.9531176993687,Expensive Area,Poor,1152645.426408592,145.0
144,4.0,3.0,2112.729148710924,Expensive Area,Poor,1231663.4652242155,146.0
146,3.0,1.0,1271.8173547662896,Low-Cost,Good,684174.158723076,148.0
147,4.0,3.0,2008.776626246759,Middle Class,Poor,1082128.8877853244,149.0
148,5.0,2.0,1918.7938692932744,Low-Cost,Good,999608.310664017,150.0
149,4.0,3.0,1900.1971401383507,Low-Cost,Fair,1015344.6419557309,151.0
150,4.0,3.0,1814.0164028325507,Expensive Area,Fair,1178393.502807651,152.0
151,3.0,2.0,1527.9901113686035,Low-Cost,Good,792282.998613834,153.0
152,5.0,1.0,1892.9014788644013,Expensive Area,Poor,1138837.048265995,154.0
153,4.0,3.0,1917.2289893194725,Expensive Area,Fair,1072656.0764037855,155.0
154,3.0,3.0,1514.2594327894528,Expensive Area,Poor,972753.004341181,156.0
155,5.0,3.0,2546.309804457903,Middle Class,Fair,1352217.1415122335,157.0
156,4.0,2.0,1989.533168364715,Middle Class,Good,1034370.9388584282,158.0
157,3.0,1.0,1323.4786011189406,Middle Class,Good,767901.4484892727,159.0
158,4.0,3.0,2062.621443453532,Middle Class,Good,1265389.4059089778,160.0
159,3.0,2.0,1410.1273319090717,Middle Class,Fair,804433.8439202514,161.0
160,3.0,3.0,2114.8338414969808,Middle Class,Poor,1171261.4650897295,162.0
161,5.0,4.0,2263.4382316029614,Low-Cost,Poor,1229915.5519609922,163.0
162,2.0,2.0,1471.7270726593158,Middle Class,Poor,855724.6163042135,164.0
163,5.0,2.0,2185.3504516977287,Middle Class,Fair,1004516.6064958775,165.0
164,4.0,3.0,1965.1123707746,Expensive Area,Fair,1197564.3915807265,166.0
165,4.0,1.0,2128.824063997796,Expensive Area,Fair,1004516.6064958775,167.0
166,4.0,3.0,2558.717193061579,Expensive Area,Fair,1394363.7625207957,168.0
168,3.0,2.0,1498.5055342570042,Expensive Area,Poor,898030.0925561662,170.0
169,2.0,2.0,1444.194228149791,Expensive Area,Fair,954015.6841923402,171.0
170,2.0,2.0,1473.6758860138248,Middle Class,Fair,838877.574333251,172.0
171,4.0,2.0,1769.1593162343584,Expensive Area,Poor,1063817.836508996,173.0
172,5.0,3.0,1936.4607899266573,Expensive Area,Fair,1193951.91674821,174.0
173,3.0,2.0,1910.676319732008,Low-Cost,Poor,950112.417270577,175.0
174,4.0,3.0,2130.873299614409,Middle Class,Poor,1215744.5160394069,176.0
175,3.0,2.0,1805.2007567511628,Middle Class,Good,972660.8596859896,177.0
176,4.0,3.0,2381.4136308629268,Middle Class,Good,1293474.3575454345,178.0
178,4.0,4.0,2888.067666635848,Expensive Area,Good,1608029.7746495102,180.0
179,3.0,3.0,2050.2669391060026,Expensive Area,Fair,1180267.0498705425,181.0
180,3.0,1.0,1457.1369774334871,Low-Cost,Poor,731600.5359336168,182.0
181,4.0,2.0,1371.643000775555,Expensive Area,Poor,890360.2836134819,183.0
182,4.0,3.0,1992.9889660972744,Low-Cost,Fair,1007072.4053475576,184.0
183,4.0,2.0,1710.6148858696597,Middle Class,Good,921587.1747311918,185.0
184,5.0,3.0,2085.600197636837,Expensive Area,Poor,1237026.9217577158,186.0
185,5.0,2.0,1989.2950498294176,Low-Cost,Poor,974041.161202308,187.0
186,4.0,2.0,1770.8684349372509,Low-Cost,Fair,928692.474632451,188.0
187,3.0,1.0,1461.282512772638,Expensive Area,Good,1004516.6064958775,189.0
188,3.0,1.0,1621.3940191731915,Middle Class,Poor,867351.0363164403,191.0
189,4.0,3.0,2142.559517729389,Middle Class,Fair,1152587.0908105075,192.0
190,2.0,3.0,1885.6374976520813,Low-Cost,Poor,954112.109256012,193.0
191,2.0,2.0,1301.7044885152047,Low-Cost,Fair,704980.5332125365,194.0
193,3.0,2.0,1446.4570255195467,Middle Class,Fair,820101.6776167969,197.0
195,5.0,2.0,1823.2834873784,Low-Cost,Fair,950873.4681674108,199.0
196,2.0,2.0,1342.8118808677507,Low-Cost,Poor,655706.2664383233,200.0
197,4.0,3.0,1943.114944139313,Middle Class,Poor,1085830.1067926926,201.0
198,2.0,1.0,2024.313810547293,Expensive Area,Poor,1099060.4390421775,202.0
199,5.0,3.0,2233.2204972701106,Expensive Area,Good,1348229.4379295078,203.0
200,4.0,4.0,2221.520820813961,Middle Class,Good,1253323.7188264409,204.0
201,3.0,2.0,1248.9322528171635,Middle Class,Poor,788055.2343403138,205.0
202,4.0,2.0,1424.869984033951,Expensive Area,Fair,863371.6684008393,206.0
203,5.0,2.0,2006.014106883464,Low-Cost,Good,1010454.1450902448,207.0
204,4.0,3.0,2005.514380364884,Expensive Area,Poor,1143070.0393858128,208.0
205,2.0,3.0,2006.0190745224195,Middle Class,Fair,1029614.3932474104,209.0
207,5.0,3.0,2028.356204277267,Middle Class,Fair,1066774.0914551143,211.0
208,3.0,4.0,2254.22625607224,Middle Class,Fair,1247663.565929406,212.0
209,4.0,2.0,2181.6007053972808,Middle Class,Fair,1123284.5963678122,213.0
210,5.0,2.0,2060.55650052232,Middle Class,Fair,1158101.5746573273,214.0
211,4.0,2.0,1673.8923021438618,Expensive Area,Good,1012759.7044142346,215.0
212,5.0,2.0,2103.587688197307,Middle Class,Good,1262018.2500483547,216.0
213,1.0,2.0,1490.869914184971,Low-Cost,Good,788258.0802308997,217.0
214,4.0,2.0,1705.2725573039966,Middle Class,Poor,978277.8302627644,218.0
215,3.0,2.0,1605.8545808683589,Low-Cost,Good,813578.6419535865,219.0
216,4.0,3.0,1832.749655754529,Low-Cost,Fair,929001.5783270794,220.0
218,2.0,1.0,1053.0939229633009,Low-Cost,Fair,509317.6657562127,222.0
219,5.0,3.0,2074.5040761498053,Middle Class,Poor,1148192.9271025814,223.0
220,2.0,1.0,1154.9136515241394,Low-Cost,Fair,547095.7573713271,224.0
221,3.0,3.0,1611.2272536842263,Middle Class,Fair,917114.5551451328,225.0
222,4.0,2.0,2235.580238786946,Middle Class,Fair,1197316.6639428888,226.0
223,3.0,2.0,1825.712007638185,Expensive Area,Poor,1063824.723982941,227.0
224,3.0,1.0,1368.9020888282776,Middle Class,Good,1004516.6064958775,228.0
225,2.0,2.0,1513.8785162960128,Expensive Area,Good,930304.9724922077,229.0
226,4.0,2.0,2071.8390995738705,Middle Class,Poor,1129585.814295324,230.0
227,3.0,1.0,1507.8533473131454,Middle Class,Fair,797822.03396763,231.0
228,2.0,3.0,1886.58343583279,Middle Class,Good,1077290.5175171436,232.0
229,2.0,2.0,1818.2287359615248,Expensive Area,Poor,1049245.2872141586,233.0
230,3.0,2.0,1539.3598609576732,Expensive Area,Poor,952277.4261192984,234.0
231,6.0,3.0,2657.57763573013,Low-Cost,Poor,1373156.3687762553,235.0
232,5.0,2.0,2053.5676089272047,Expensive Area,Fair,1215101.907955147,236.0
233,1.0,2.0,989.9429653369572,Expensive Area,Good,703068.4334190282,237.0
234,4.0,3.0,1874.581725907771,Expensive Area,Poor,1138175.5016145515,238.0
235,3.0,1.0,1535.2854140926447,Middle Class,Good,909505.315102477,239.0
236,4.0,2.0,1814.0164028325507,Low-Cost,Good,1088283.1060195034,240.0
237,3.0,2.0,1482.9917046269195,Expensive Area,Good,892034.4808624941,241.0
238,4.0,2.0,1754.1054234132405,Middle Class,Good,986604.231709254,242.0
239,4.0,2.0,2001.994911592183,Middle Class,Poor,1004516.6064958775,243.0
240,4.0,3.0,2146.3020776680487,Expensive Area,Fair,1250592.4292324455,244.0
241,3.0,2.0,1319.8814371776896,Expensive Area,Poor,839090.5213867924,245.0
242,4.0,2.0,1666.1995056636206,Middle Class,Poor,877334.3061837,246.0
243,3.0,2.0,1610.0218755356177,Middle Class,Poor,1004516.6064958775,247.0
244,3.0,1.0,1538.6683069705152,Low-Cost,Fair,767186.0851709653,248.0
245,6.0,2.0,2506.1816961124387,Middle Class,Good,1356577.4550105194,249.0
246,4.0,3.0,1961.9926843843823,Middle Class,Good,1068066.4537451935,250.0
247,4.0,1.0,1295.646418265982,Expensive Area,Good,858012.123445633,251.0
248,4.0,2.0,1814.0164028325507,Middle Class,Fair,1138229.905023425,252.0
249,5.0,3.0,2648.8624788050533,Low-Cost,Good,1372071.831478076,253.0
250,4.0,4.0,2212.986104220459,Middle Class,Fair,1241659.5777553571,254.0
251,3.0,2.0,1192.2520136183946,Expensive Area,Good,1004516.6064958775,255.0
252,4.0,2.0,1606.3063708534994,Expensive Area,Good,1050097.19366236,256.0
253,5.0,3.0,2306.764459674649,Middle Class,Poor,1223234.9019008975,257.0
254,2.0,2.0,1516.9322137524878,Expensive Area,Fair,949194.1213969196,258.0
255,4.0,3.0,1977.527771258492,Low-Cost,Poor,1045904.9666076103,259.0
256,6.0,2.0,2109.853621371735,Low-Cost,Poor,1063315.5233449815,260.0
257,3.0,1.0,1429.2278113687669,Middle Class,Poor,831926.474117875,261.0
258,2.0,3.0,1776.18985757528,Middle Class,Poor,972784.0404709076,262.0
259,1.0,2.0,503.4930639723709,Middle Class,Fair,357232.6876659626,263.0
260,3.0,2.0,1390.244943466284,Expensive Area,Good,892419.8797229645,264.0
261,3.0,2.0,1698.972739442736,Low-Cost,Poor,849508.4705051148,265.0
262,3.0,1.0,1300.88672721406,Low-Cost,Good,686723.2754411205,266.0
263,6.0,2.0,2452.964521572654,Expensive Area,Poor,1421638.696324261,267.0
264,3.0,1.0,1814.0164028325507,Low-Cost,Fair,572118.5927699407,268.0
265,3.0,2.0,1814.0164028325507,Middle Class,Fair,943922.1996808876,269.0
267,4.0,3.0,2376.509315626446,Middle Class,Poor,1306405.5781621505,271.0
268,2.0,2.0,1225.6551395282245,Low-Cost,Fair,664345.9668925285,272.0
269,4.0,2.0,2265.265500861984,Middle Class,Poor,1170640.4824814368,273.0
270,4.0,3.0,1804.093224407835,Expensive Area,Good,1095517.5223448882,274.0
271,3.0,1.0,1407.3965395808195,Expensive Area,Poor,827157.3027567908,275.0
272,4.0,2.0,1984.8413897053083,Low-Cost,Good,1004516.6064958775,276.0
273,3.0,1.0,1879.623878229388,Expensive Area,Poor,1063589.7166776522,277.0
274,4.0,2.0,1559.913249136482,Expensive Area,Poor,999350.7780794972,278.0
275,3.0,2.0,1827.920833996008,Low-Cost,Fair,955873.6376817916,279.0
276,3.0,2.0,1645.874561255296,Middle Class,Good,961514.0668885818,280.0
277,4.0,2.0,1845.4069381004992,Middle Class,Fair,1002568.0813478756,281.0
278,4.0,3.0,2064.852269808419,Middle Class,Fair,1133906.8652014527,282.0
279,4.0,3.0,2434.406726458141,Low-Cost,Good,1195979.881139535,283.0
280,3.0,1.0,1304.8738004692605,Expensive Area,Poor,790017.1082162815,284.0
281,5.0,3.0,2653.2133498625067,Middle Class,Poor,1443891.5564310518,285.0
282,3.0,2.0,1019.1648801909992,Middle Class,Poor,676091.6807923967,286.0
283,4.0,2.0,1739.2859619857666,Middle Class,Poor,849648.2167371972,287.0
284,5.0,3.0,2035.3268825938303,Middle Class,Poor,1119123.169392637,288.0
285,4.0,2.0,1912.396747094013,Low-Cost,Fair,1004516.6064958775,289.0
286,4.0,1.0,1550.9201920717624,Expensive Area,Poor,948318.9211968812,290.0
287,4.0,1.0,1716.75109985709,Low-Cost,Fair,835249.8893380411,291.0
288,3.0,1.0,1602.799626136467,Low-Cost,Fair,805981.6630953328,292.0
289,3.0,2.0,1564.2540972223153,Low-Cost,Fair,783699.1633379144,293.0
290,4.0,2.0,2139.84083880841,Low-Cost,Good,1076494.8093374362,294.0
291,4.0,2.0,1942.806194386019,Expensive Area,Good,1164651.3149138193,295.0
292,2.0,2.0,1814.0164028325507,Expensive Area,Fair,924468.9409474104,296.0
293,5.0,3.0,2159.8399501733,Middle Class,Good,1189836.400862188,297.0
294,3.0,2.0,1922.919808350644,Expensive Area,Poor,1111025.6196400148,298.0
295,4.0,4.0,2125.144847535584,Expensive Area,Poor,1004516.6064958775,299.0
296,4.0,4.0,2051.851536769445,Middle Class,Fair,1145232.8606497862,300.0
297,3.0,2.0,1468.401995631171,Expensive Area,Poor,902017.016154014,301.0
298,4.0,1.0,1575.927583921212,Low-Cost,Fair,844126.827879687,302.0
299,4.0,2.0,2098.917442049305,Middle Class,Fair,1092340.4323604242,303.0
300,5.0,1.0,2044.148106173386,Middle Class,Poor,1088002.2382371486,304.0
301,5.0,3.0,1791.639362414341,Middle Class,Poor,1058146.3452217754,305.0
302,4.0,3.0,1846.9309533235128,Middle Class,Poor,1027104.3443029004,306.0
303,4.0,4.0,2311.06595831537,Low-Cost,Poor,1223173.4203695157,307.0
304,3.0,2.0,1563.371444465668,Expensive Area,Fair,968606.4157754936,308.0
305,4.0,2.0,2018.8389524680151,Low-Cost,Fair,1014258.46429048,309.0
306,3.0,2.0,1719.1229390264425,Middle Class,Fair,961036.8303362074,310.0
307,4.0,2.0,1712.9275187091118,Expensive Area,Fair,977691.0988570452,311.0
308,5.0,3.0,2239.5107407948763,Expensive Area,Good,1004516.6064958775,312.0
309,4.0,3.0,1814.0164028325507,Low-Cost,Good,1058757.1926258735,313.0
310,4.0,3.0,2125.403854400256,Middle Class,Good,1176720.0273230262,314.0
311,5.0,3.0,2322.191522861732,Low-Cost,Fair,1242961.635272332,315.0
312,3.0,4.0,1808.401536653104,Expensive Area,Fair,1178719.6958796757,316.0
313,3.0,3.0,1814.0164028325507,Low-Cost,Fair,1067893.067876316,317.0
314,3.0,1.0,1675.8932973626177,Low-Cost,Good,846177.3180615116,318.0
315,4.0,2.0,1929.6665409953769,Middle Class,Fair,1003318.2114233372,319.0
316,4.0,3.0,1747.9427782529262,Middle Class,Poor,976294.036221796,320.0
317,4.0,2.0,1838.7983859970875,Expensive Area,Poor,1067825.7611414422,321.0
318,4.0,3.0,1814.0164028325507,Low-Cost,Fair,1029502.836631111,322.0
319,3.0,2.0,1472.711726706611,Low-Cost,Poor,746675.9624604313,323.0
321,2.0,2.0,1397.5930474001193,Middle Class,Good,813537.87701878,325.0
322,3.0,2.0,1314.3245548849072,Expensive Area,Fair,867883.3573817343,326.0
323,6.0,3.0,2263.244349400027,Middle Class,Fair,1227277.666457818,327.0
324,4.0,3.0,1814.0164028325507,Middle Class,Good,1175676.690836663,328.0
325,3.0,3.0,2049.6479268208623,Middle Class,Poor,1175564.0471618872,329.0
326,5.0,3.0,2051.338203705712,Low-Cost,Poor,1036520.6539199776,330.0
327,4.0,2.0,1814.0164028325507,Low-Cost,Fair,840886.9552051655,331.0
328,3.0,2.0,1441.0982514056673,Middle Class,Poor,808914.086476147,332.0
330,2.0,2.0,1529.1353153951554,Middle Class,Good,910861.3155544376,334.0
331,4.0,2.0,2190.0478933671006,Middle Class,Fair,1217635.0641816226,335.0
332,4.0,1.0,1741.1770473991446,Middle Class,Good,970430.6480267108,336.0
333,3.0,1.0,1469.8011212829954,Expensive Area,Good,884451.1908739463,337.0
334,4.0,2.0,1671.445663338803,Low-Cost,Fair,857972.0978733371,338.0
335,4.0,2.0,1965.1725817102497,Middle Class,Good,1157657.9621801232,339.0
336,4.0,1.0,1574.51017887841,Middle Class,Good,755440.4706434299,340.0
337,3.0,2.0,1471.1118417734274,Expensive Area,Good,928612.5186428796,341.0
338,4.0,3.0,1897.474884596765,Expensive Area,Poor,1153894.4932215072,342.0
339,3.0,2.0,1897.986628443489,Expensive Area,Fair,1140667.5725477503,343.0
340,3.0,1.0,1597.222729851548,Low-Cost,Fair,793689.7230373236,344.0
341,4.0,2.0,1611.5846777526708,Low-Cost,Fair,843454.621173825,345.0
342,3.0,3.0,1892.8199749430544,Low-Cost,Poor,951019.5317017208,346.0
343,2.0,2.0,1220.7662634010703,Low-Cost,Poor,631418.6267678349,347.0
344,3.0,1.0,1237.014490249378,Expensive Area,Fair,778360.7523472979,348.0
345,3.0,3.0,1512.6223114990255,Expensive Area,Poor,970327.1968702432,349.0
346,4.0,3.0,1714.6211393152612,Middle Class,Fair,971491.2026105584,350.0
347,3.0,2.0,1924.3630262392016,Middle Class,Poor,1046276.3736247064,351.0
348,6.0,3.0,1814.0164028325507,Low-Cost,Good,1240686.23464037,352.0
349,3.0,2.0,2143.0638492808075,Expensive Area,Good,1257160.2396995286,353.0
350,4.0,2.0,1736.0245880146292,Expensive Area,Fair,1048669.2528989287,354.0
351,3.0,3.0,1792.3935168389244,Expensive Area,Poor,1024386.1085313094,355.0
