,Bedrooms,Bathrooms,HouseSize_sqft,Neighborhood,Condition,Price
245,6.0,2.0,2109.853621371735,Low-Cost,Poor,1063315.5233449815
246,3.0,1.0,1429.2278113687669,Middle Class,Poor,831926.474117875
247,2.0,3.0,1776.18985757528,Middle Class,Poor,972784.0404709076
248,1.0,2.0,503.4930639723709,Middle Class,Fair,357232.6876659626
249,3.0,2.0,1390.244943466284,Expensive Area,Good,892419.8797229645
250,3.0,2.0,1698.972739442736,Low-Cost,Poor,849508.4705051148
251,3.0,1.0,1300.88672721406,Low-Cost,Good,686723.2754411205
252,6.0,2.0,2452.964521572654,Expensive Area,Poor,1421638.696324261
253,3.0,1.0,1809.8040697035767,Low-Cost,Fair,572118.5927699407
254,3.0,2.0,1809.8040697035767,Middle Class,Fair,943922.1996808876
255,4.0,3.0,2376.509315626446,Middle Class,Poor,1306405.5781621505
256,2.0,2.0,1225.6551395282245,Low-Cost,Fair,664345.9668925285
257,4.0,2.0,2265.265500861984,Middle Class,Poor,1170640.4824814368
258,4.0,3.0,1804.093224407835,Expensive Area,Good,1095517.5223448882
259,3.0,1.0,1407.3965395808195,Expensive Area,Poor,827157.3027567908
260,4.0,2.0,1984.8413897053083,Low-Cost,Good,1004516.6064958775
261,3.0,1.0,1879.623878229388,Expensive Area,Poor,1063589.7166776522
262,4.0,2.0,1559.913249136482,Expensive Area,Poor,999350.7780794972
263,3.0,2.0,1827.920833996008,Low-Cost,Fair,955873.6376817916
264,3.0,2.0,1645.874561255296,Middle Class,Good,961514.0668885818
265,4.0,2.0,1845.4069381004992,Middle Class,Fair,1002568.0813478756
266,4.0,3.0,2064.852269808419,Middle Class,Fair,1133906.8652014527
267,4.0,3.0,2434.406726458141,Low-Cost,Good,1195979.881139535
268,3.0,1.0,1304.8738004692605,Expensive Area,Poor,790017.1082162815
269,5.0,3.0,2653.2133498625067,Middle Class,Poor,1443891.5564310518
270,3.0,2.0,1019.1648801909992,Middle Class,Poor,676091.6807923967
271,4.0,2.0,1739.2859619857666,Middle Class,Poor,849648.2167371972
272,5.0,3.0,2035.3268825938303,Middle Class,Poor,1119123.169392637
273,4.0,2.0,1912.396747094013,Low-Cost,Fair,1004516.6064958775
274,4.0,1.0,1550.9201920717624,Expensive Area,Poor,948318.9211968812
275,4.0,1.0,1716.75109985709,Low-Cost,Fair,835249.8893380411
276,3.0,1.0,1602.799626136467,Low-Cost,Fair,805981.6630953328
277,3.0,2.0,1564.2540972223153,Low-Cost,Fair,783699.1633379144
278,4.0,2.0,2139.84083880841,Low-Cost,Good,1076494.8093374362
279,4.0,2.0,1942.806194386019,Expensive Area,Good,1164651.3149138193
280,2.0,2.0,1809.8040697035767,Expensive Area,Fair,924468.9409474104
281,5.0,3.0,2159.8399501733,Middle Class,Good,1189836.400862188
282,3.0,2.0,1922.919808350644,Expensive Area,Poor,1111025.6196400148
283,4.0,4.0,2125.144847535584,Expensive Area,Poor,1004516.6064958775
284,4.0,4.0,2051.851536769445,Middle Class,Fair,1145232.8606497862
285,3.0,2.0,1468.401995631171,Expensive Area,Poor,902017.016154014
286,4.0,1.0,1575.927583921212,Low-Cost,Fair,844126.827879687
287,4.0,2.0,2098.917442049305,Middle Class,Fair,1092340.4323604242
288,5.0,1.0,2044.148106173386,Middle Class,Poor,1088002.2382371486
289,5.0,3.0,1791.639362414341,Middle Class,Poor,1058146.3452217754
290,4.0,3.0,1846.9309533235128,Middle Class,Poor,1027104.3443029004
291,4.0,4.0,2311.06595831537,Low-Cost,Poor,1223173.4203695157
292,3.0,2.0,1563.371444465668,Expensive Area,Fair,968606.4157754936
293,4.0,2.0,2018.8389524680151,Low-Cost,Fair,1014258.46429048
294,3.0,2.0,1719.1229390264425,Middle Class,Fair,961036.8303362074
295,4.0,2.0,1712.9275187091118,Expensive Area,Fair,977691.0988570452
296,5.0,3.0,2239.5107407948763,Expensive Area,Good,1004516.6064958775
297,4.0,3.0,1809.8040697035767,Low-Cost,Good,1058757.1926258735
298,4.0,3.0,2125.403854400256,Middle Class,Good,1176720.0273230262
299,5.0,3.0,2322.191522861732,Low-Cost,Fair,1242961.635272332
300,3.0,4.0,1808.401536653104,Expensive Area,Fair,1178719.6958796757
301,3.0,3.0,1809.8040697035767,Low-Cost,Fair,1067893.067876316
302,3.0,1.0,1675.8932973626177,Low-Cost,Good,846177.3180615116
303,4.0,2.0,1929.6665409953769,Middle Class,Fair,1003318.2114233372
304,4.0,3.0,1747.9427782529262,Middle Class,Poor,976294.036221796
305,4.0,2.0,1838.7983859970875,Expensive Area,Poor,1067825.7611414422
306,4.0,3.0,1809.8040697035767,Low-Cost,Fair,1029502.836631111
307,3.0,2.0,1472.711726706611,Low-Cost,Poor,746675.9624604313
308,2.0,2.0,1397.5930474001193,Middle Class,Good,813537.87701878
309,3.0,2.0,1314.3245548849072,Expensive Area,Fair,867883.3573817343
310,6.0,3.0,2263.244349400027,Middle Class,Fair,1227277.666457818
311,4.0,3.0,1809.8040697035767,Middle Class,Good,1175676.690836663
312,3.0,3.0,2049.6479268208623,Middle Class,Poor,1175564.0471618872
313,5.0,3.0,2051.338203705712,Low-Cost,Poor,1036520.6539199776
314,4.0,2.0,1809.8040697035767,Low-Cost,Fair,840886.9552051655
315,3.0,2.0,1441.0982514056673,Middle Class,Poor,808914.086476147
316,2.0,2.0,1529.1353153951554,Middle Class,Good,910861.3155544376
317,4.0,2.0,2190.0478933671006,Middle Class,Fair,1217635.0641816226
318,4.0,1.0,1741.1770473991446,Middle Class,Good,970430.6480267108
319,3.0,1.0,1469.8011212829954,Expensive Area,Good,884451.1908739463
320,4.0,2.0,1671.445663338803,Low-Cost,Fair,857972.0978733371
321,4.0,2.0,1965.1725817102497,Middle Class,Good,1157657.9621801232
322,4.0,1.0,1574.51017887841,Middle Class,Good,755440.4706434299
323,3.0,2.0,1471.1118417734274,Expensive Area,Good,928612.5186428796
324,4.0,3.0,1897.474884596765,Expensive Area,Poor,1153894.4932215072
325,3.0,2.0,1897.986628443489,Expensive Area,Fair,1140667.5725477503
326,3.0,1.0,1597.222729851548,Low-Cost,Fair,793689.7230373236
327,4.0,2.0,1611.5846777526708,Low-Cost,Fair,843454.621173825
328,3.0,3.0,1892.8199749430544,Low-Cost,Poor,951019.5317017208
329,2.0,2.0,1220.7662634010703,Low-Cost,Poor,631418.6267678349
330,3.0,1.0,1237.014490249378,Expensive Area,Fair,778360.7523472979
331,3.0,3.0,1512.6223114990255,Expensive Area,Poor,970327.1968702432
332,4.0,3.0,1714.6211393152612,Middle Class,Fair,971491.2026105584
333,3.0,2.0,1924.3630262392016,Middle Class,Poor,1046276.3736247064
334,6.0,3.0,1809.8040697035767,Low-Cost,Good,1240686.23464037
335,3.0,2.0,2143.0638492808075,Expensive Area,Good,1257160.2396995286
336,4.0,2.0,1736.0245880146292,Expensive Area,Fair,1048669.2528989287
337,3.0,3.0,1792.3935168389244,Expensive Area,Poor,1024386.1085313094
338,2.0,2.0,1398.9882541448765,Middle Class,Poor,821402.3593866142
339,3.0,3.0,1792.594745603044,Middle Class,Good,980495.6664954912
340,3.0,2.0,1684.5365444319448,Expensive Area,Poor,997428.4548349103
341,3.0,3.0,1929.087424135236,Expensive Area,Poor,1121219.5020395515
342,4.0,1.0,1469.1076225790707,Expensive Area,Poor,944331.5729557064
343,4.0,3.0,2007.738605696469,Middle Class,Poor,1045412.1461440502
344,4.0,2.0,2413.095565201031,Expensive Area,Poor,1444025.460350264
345,4.0,2.0,1960.684688839577,Low-Cost,Poor,993005.2774016844
346,3.0,3.0,2076.057596684445,Low-Cost,Fair,1048579.0984895115
347,4.0,2.0,1639.5118112456655,Middle Class,Poor,930346.9373062792
348,4.0,2.0,1889.6369927241667,Middle Class,Good,1139970.319577255
349,3.0,2.0,1805.0369603127176,Expensive Area,Fair,1085623.0997192247
350,4.0,2.0,1839.0704394195327,Low-Cost,Poor,970249.8317188933
351,2.0,2.0,1490.7960864578135,Middle Class,Good,837545.6593436736
352,4.0,3.0,1809.8040697035767,Low-Cost,Fair,939491.67875739
353,4.0,3.0,1999.19931649818,Low-Cost,Poor,1031101.4939145755
354,5.0,2.0,2380.4574431180167,Low-Cost,Poor,1206358.600992527
355,4.0,2.0,2183.7083304340827,Low-Cost,Poor,1120681.8516013492
356,5.0,4.0,2661.272983004623,Expensive Area,Poor,1538379.544020506
357,4.0,2.0,1493.0609748447805,Expensive Area,Poor,847665.7796402227
358,5.0,2.0,2148.9282546882714,Low-Cost,Fair,1110694.737905615
359,4.0,3.0,1873.3368022953407,Middle Class,Poor,1059843.646874467
360,6.0,3.0,2675.921173287069,Middle Class,Good,1449603.2652858042
361,3.0,2.0,1464.1112631276897,Middle Class,Good,871573.4500070408
362,4.0,3.0,1560.2429418223912,Low-Cost,Fair,846535.1176837618
363,1.0,1.0,950.4417102760772,Expensive Area,Poor,601512.4395895265
364,3.0,2.0,1589.6979913276955,Middle Class,Poor,896575.664711199
365,5.0,3.0,1936.702390310864,Middle Class,Fair,1078714.5589021896
366,5.0,4.0,2550.4683356863543,Low-Cost,Poor,1341582.5552303423
367,3.0,3.0,2180.16953527442,Middle Class,Fair,1285670.0422347714
368,2.0,2.0,1569.2385377350388,Expensive Area,Poor,955549.9045836864
369,4.0,2.0,1440.6341314606568,Low-Cost,Fair,1004516.6064958775
370,4.0,2.0,1996.7676686026025,Expensive Area,Poor,1178030.7994846196
371,3.0,1.0,1271.9067171917432,Low-Cost,Poor,620113.5748795959
372,5.0,3.0,2532.5835063417417,Low-Cost,Fair,1298620.254194002
373,5.0,3.0,2271.776048288514,Low-Cost,Fair,1192311.507486662
